606081e594d57fd879000041	Which bioconductor tool has been developed for accessing bacterial regulatory networks?	Programmatic access to bacterial regulatory networks with regutools. RegulonDB has collected, harmonized and centralized data from hundreds of experiments for nearly two decades and is considered a point of reference for transcriptional regulation in Escherichia coli K12. Here, we present the regutools R package to facilitate programmatic access to RegulonDB data in computational biology. regutools gives researchers the possibility of writing reproducible workflows with automated queries to RegulonDB. The regutools package serves as a bridge between RegulonDB data and the Bioconductor ecosystem by reusing the data structures and statistical methods powered by other Bioconductor packages. We demonstrate the integration of regutools with Bioconductor by analyzing transcription factor DNA binding sites and transcriptional regulatory networks from RegulonDB. We anticipate that regutools will serve as a useful building block in our progress to further our understanding of gene regulatory networks.AVAILABILITY AND IMPLEMENTATION: regutools is an R package available through Bioconductor at bioconductor.org/packages/regutools.	['regutools']
6057c78994d57fd879000034	Which protein is involved in the organization and regulation of pluripotency-associated three-dimensional enhancer networks?	KLF4 is involved in the organization and regulation of pluripotency-associated three-dimensional enhancer networks. Cell fate transitions are accompanied by global transcriptional, epigenetic and topological changes driven by transcription factors, as is exemplified by reprogramming somatic cells to pluripotent stem cells through the expression of OCT4, KLF4, SOX2 and cMYC. How transcription factors orchestrate the complex molecular changes around their target gene loci remains incompletely understood. Here, using KLF4 as a paradigm, we provide a transcription-factor-centric view of chromatin reorganization and its association with three-dimensional enhancer rewiring and transcriptional changes during the reprogramming of mouse embryonic fibroblasts to pluripotent stem cells. Inducible depletion of KLF factors in PSCs caused a genome-wide decrease in enhancer connectivity, whereas disruption of individual KLF4 binding sites within pluripotent-stem-cell-specific enhancers was sufficient to impair enhancer-promoter contacts and reduce the expression of associated genes.	['KLF4']
5717d64f29809bbe7a000001	Which is the cellular localization of the protein Opa1?	. The subcellular distribution of mOPA1 overexpressed in COS-7 cells largely overlapped that of endogenous cytochrome c, a well known mitochondrial marker, elease of high MW Opa-1 isoforms from the mitochondria to the cytosol  mitochondrial fusion (opa-1) mitochondrial fusion genes Mfn1 (mitofusin 1), Mfn2 (mitofusin 2), Opa1 (optic atrophy 1)  Biochemical examinations indicate that both of the OPA1 isoforms are present in the intermembrane space. Submitochondrial fractionation by sucrose density-gradient centrifugation shows that the 88-kDa protein predominantly associates with the mitochondrial outer membrane, on the contrary, the 93-kDa protein associates with the inner membrane.  We describe here a nuclear gene, OPA1, that maps within the candidate region and encodes a dynamin-related protein localized to mitochondria.  The dynamin-related protein Opa1 is localized to the mitochondrial intermembrane space, where it facilitates fusion between mitochondria. Regulation of the mitochondrial dynamin-like protein Opa1 by proteolytic cleavage. Differential sublocalization of the dynamin-related protein OPA1 isoforms in mitochondria. The human dynamin-related protein OPA1 is anchored to the mitochondrial inner membrane facing the inter-membrane space. In addition to the capacity of these proteins to promote fusion, mitofusin 2 or OPA1 regulate mitochondrial metabolism and loss-of-function reduces oxygen consumption and the capacity to oxidize substrates. Here, we identified two isoforms of OPA1 proteins in HeLa cells and examined their submitochondrial localization and complex formations. Our experiments restrict the function of prohibitins to mitochondria and identify the processing of the dynamin-like GTPase OPA1, an essential component of the mitochondrial fusion machinery, as the central cellular process controlled by prohibitins. LRRK2 partially co-localizes with endosomal dynamin-1 or with mitofusins and OPA1 at mitochondrial membranes. While initial fusion of mitochondria by 15d-PGJ2 required the presence of both outer (Mfn1 and Mfn2) and inner (OPA1) mitochondrial membrane fusion proteins, later mitochondrial changes involved increased degradation of the fusion protein OPA1 and ubiquitination of newly synthesized OPA1 along with decreased expression of Mfn1 and Mfn2, which likely contributed to the loss of tubular rigidity, disorganization of cristae, and formation of large swollen degenerated dysfunctional mitochondria. Assay and properties of the mitochondrial dynamin related protein Opa1. Mitochondrial remodeling following fission inhibition by 15d-PGJ2 involves molecular changes in mitochondrial fusion protein OPA1. We have previously described that silencing of the mitochondrial protein OPA1 enhances mitochondrial Ca(2+) signaling and aldosterone production in H295R adrenocortical cells. Our results define, for the first time, a function of the middle domain of the Opa1 protein and demonstrate that mitochondrial retention of Opa1 protein is essential for normal embryogenesis. Here, we identified two isoforms of OPA1 proteins in HeLa cells and examined their submitochondrial localization and complex formations Differential sublocalization of the dynamin-related protein OPA1 isoforms in mitochondria The dynamin-related protein Opa1 is localized to the mitochondrial intermembrane space, where it facilitates fusion between mitochondria.  Mitochondrial fission and fusion mediators, hFis1 and OPA1, modulate cellular senescence. The dynamin-related GTPase protein OPA1, localized in the intermembrane space and tethered to the inner membrane of mitochondria, participates in the fusion of these organelles.  Lack of mitochondrial retention of Opa1 is sufficient to cause the cellular Opa1 loss-of-function phenotype as the mitochondria are fragmented, indicating an inability to fuse.  Opa1, also known as Mgm1 in yeast, is a mitochondrial member of the dynamin family. Unlike other dynamin family members, Opa1 has an N-terminal mitochondrial targeting sequence, suggesting that this protein is imported into mitochondria. Here, we describe biochemical techniques, such as mitochondrial isolation, digitonin extraction, a protease protection assay, and carbonate extraction, that were used to determine that mammalian Opa1 resides in the intermembrane space where it is tightly bound to the inner membrane. The dynamin-related protein Opa1 is localized to the mitochondrial intermembrane space, The dynamin-related GTPase protein OPA1, localized in the intermembrane space and tethered to the inner membrane of mitochondria, participates in the fusion of these organelles. we identified two isoforms of OPA1 proteins in HeLa cells and examined their submitochondrial localization and complex formations. PKA phosphorylates perilipin, a protein localized on the surface of lipid droplets that serves as a gatekeeper to regulate access of lipases converting stored triglycerides to free fatty acids and glycerol in a phosphorylation-dependent manner. Here, we report a new function for optic atrophy 1 (OPA1), a protein known to regulate mitochondrial dynamics, as a dual-specificity A-kinase anchoring protein associated with lipid droplets. We find that Mgm1/OPA1 is localized to the mitochondrial intermembrane space,	['mitochondrial intermembrane space']
5c89623bf9c2ba6b28000005	Which cancer is associated with increased levels of Serum alpha fetoprotein (AFP) ?	In the competing-risk regression, the sum of tumor number and size and of log10 level of AFP were significantly associated with HCC-specific death (P < .001), returning an average c-statistic of 0.780 (95% confidence interval, 0.763-0.798). Ovarian Sertoli-Leydig cell tumors (SLCTs) are uncommon neoplasms that are occasionally associated with an elevated level of serum alpha fetoprotein (AFP), a marker of germ cell neoplasms, particularly yolk sac tumor (YST).  Serum α-Fetoprotein (AFP) is a widely used diagnostic biomarker, but it has limited sensitivity and is not elevated in all HCC cases so, we incorporate a second blood-based biomarker, des'γ carboxy-prothrombin (DCP), that has shown potential as a screening marker for HCC.  Cirrhosis in patients with chronic hepatitis C increases the risk of hepatocellular carcinoma (HCC), and surveillance with ultrasound (US) and alpha-fetoprotein (AFP) is recommended.  The combination of enhancement patterns on CEUS and serum tumor markers (AFP and CA19-9) may be a potentially specific diagnostic method to differentiate CHC from HCC and CC.	['HCC', 'hepatocelluar carcinoma']
5a89800efcd1d6a10c00000c	Where is the enzyme PM20D1 localized?	we identify a secreted enzyme, peptidase M20 domain containing 1 (PM20D1), that is enriched in UCP1(+) versus UCP1(-) adipocytes  A secreted enzyme, PM20D1, enriched in UCP1+ adipocytes, exhibits catalytic and hydrolytic activity to reversibly form N-acyl amino acids.	['UCP1+ adipocytes']
5e2902688b3851296d000005	Which receptor is inhibited by Teprotumumab?	A recently completed therapeutic trial of teprotumumab, a human IGF1R inhibiting antibody, in patients with moderate to severe, active TAO, indicates the potential effectiveness and safety of the drug.  Results from a very recently published clinical trial assessing the safety and efficacy of teprotumumab, an inhibitory human anti-IGF-IR monoclonal antibody, in active, moderate to severe TAO are extremely encouraging. The induction in fibrocytes is a consequence of increased TNF-α gene promoter activity and is independent of ongoing protein synthesis. It could be attenuated by dexamethasone and the IGF-1 receptor inhibiting antibody, teprotumumab. These observations served as the rationale for implementing a recently completed therapeutic trial of teprotumumab, a monoclonal inhibitory antibody targeting IGF-IR in TAO.  Results of randomised controlled trials investigating the efficacy of the IGF-1 receptor antibody teprotumumab and the interleukin-6 receptor antibody tocilizumab are expected shortly. Update of IGF-1 receptor inhibitor (ganitumab, dalotuzumab, cixutumumab, teprotumumab and figitumumab) effects on cancer therapy. METHODS: We conducted a multicenter, double-masked, randomized, placebo-controlled trial to determine the efficacy and safety of teprotumumab, a human monoclonal antibody inhibitor of IGF-IR, in patients with active, moderate-to-severe ophthalmopathy.  TSH-Mediated TNFα Production in Human Fibrocytes Is Inhibited by Teprotumumab, an IGF-1R Antagonist. Teprotumumab (TMB) is a human monoclonal IGF-1R blocking antibody currently in clinical trial for GO and inhibits TSHR-mediated actions in FCs. CONCLUSIONS Teprotumumab attenuates the actions of both IGF-1 and TSH in fibrocytes. Teprotumumab, an IGF-1R blocking monoclonal antibody inhibits TSH and IGF-1 action in fibrocytes. DESIGN Fibrocytes were treated without or with teprotumumab in combination with IGF-1 or TSH. Teprotumumab, an insulin-like growth factor-1 receptor antagonist antibody, in the treatment of active thyroid eye disease: a focus on proptosis. TSH-Mediated TNFα Production in Human Fibrocytes Is Inhibited by Teprotumumab , an IGF-1R Antagonist Teprotumumab ( TMB ) is a human monoclonal IGF-1R blocking antibody currently in clinical trial for GO and inhibits TSHR-mediated actions in FCs Teprotumumab (TMB) is a human monoclonal IGF-1R blocking antibody currently in clinical trial for GO and inhibits TSHR-mediated actions in FCs. Teprotumumab, a monoclonal IGF-1R antagonist, has demonstrated previously in a 24 week, randomized, controlled trial to produce significant changes in composite outcomes of proptosis and clinical activity score as compared with placebo. METHODS We conducted a multicenter, double-masked, randomized, placebo-controlled trial to determine the efficacy and safety of teprotumumab, a human monoclonal antibody inhibitor of IGF-IR, in patients with active, moderate-to-severe ophthalmopathy. Teprotumumab (RV 001, R1507) is a human monoclonal anti-IGF-1R blocking antibody currently undergoing a phase 2 clinical trial in patients with active TAO. The most promising results are observed with small thyroid stimulating hormone receptor molecules interacting with the receptor on thyrocytes and fibroblasts and with the anti-IGF-1 receptor antibody teprotumumab. The induction could be attenuated by dexamethasone and by IGF-I receptor-blocking antibodies, teprotumumab and 1H7. Teprotumumab (RV 001, R1507) is a human monoclonal anti-IGF-1R blocking antibody currently undergoing a phase 2 clinical trial in patients with active TAO. The most promising results are observed with small thyroid stimulating hormone receptor molecules interacting with the receptor on thyrocytes and fibroblasts and with the anti-IGF-1 receptor antibody teprotumumab. Teprotumumab, a monoclonal IGF-1R antagonist, has demonstrated previously in a 24 week, randomized, controlled trial to produce significant changes in composite outcomes of proptosis and clinical activity score as compared with placebo.	['IGF-1']
56c1f003ef6e394741000039	What molecule is targeted by suvorexant?	Suvorexant is the first DORA to be approved and has demonstrated efficacy at decreasing both time to sleep onset and increasing total sleep time compared with placebo.  Suvorexant: a dual orexin receptor antagonist for the treatment of sleep onset and sleep maintenance insomnia. CONCLUSION: Suvorexant is the first dual orexin receptor antagonist approved for the treatment of insomnia.  Crystal structure of the human OX2 orexin receptor bound to the insomnia drug suvorexant.  The human OX2 receptor (OX2R) belongs to the β branch of the rhodopsin family of GPCRs, and can bind to diverse compounds including the native agonist peptides orexin-A and orexin-B and the potent therapeutic inhibitor suvorexant.  Orexin receptor antagonism for treatment of insomnia: a randomized clinical trial of suvorexant. Promotion of sleep by suvorexant-a novel dual orexin receptor antagonist. The neurotransmitter systems on which the development of these agents were based included serotonin for ondansetron and lorcaserin, dopamine for varenicline, substance P (or neurokinin) for aprepitant, melatonin for ramelteon, and orexin for suvorexant. The indications were chemotherapy-induced nausea and vomiting for ondansetron and aprepitant, smoking cessation for varenicline, weight loss for lorcaserin, and insomnia for suvorexant and ramelteon. Suvorexant, a dual orexin receptor antagonist for the management of insomnia. Suvorexant, a dual orexin receptor antagonist for the management of insomnia. The orexin-1 and orexin-2 receptors are two G protein-coupled receptors that bind the neuropeptides orexin-A and orexin-B. Dual antagonism of the receptors by small molecules is clinically efficacious in the treatment of insomnia, where the most advanced molecule suvorexant has recently been approved. Suvorexant helps in decreasing wakefulness by counteracting orexin activity.  The orexin-1 and orexin-2 receptors are two G protein-coupled receptors that bind the neuropeptides orexin-A and orexin-B. Dual antagonism of the receptors by small molecules is clinically efficacious in the treatment of insomnia, where the most advanced molecule suvorexant has recently been approved. Hypnotic drug development has arguably become more focused in recent years, particularly upon the highly anticipated novel target, the orexin (hypocretin) system. Merck&apos;s suvorexant (MK-4305) is the first compound of the so-called dual orexin receptor antagonist (DORA) class expected to be submitted for FDA approval, with a new drug application anticipated in 2012.	['orexin']
56c1f039ef6e394741000052	Which antibody is implicated in the Bickerstaff's brainstem encephalitis?	In addition, BBE and Fisher syndrome, which are clinically similar and are both associated with the presence of the immunoglobulin G anti-GQ1b antibody, represent a specific autoimmune disease with a wide spectrum of symptoms that include ophthalmoplegia and ataxia. The syndrome defined by Bickerstaff of progressive, external ophthalmoplegia and ataxia, with disturbance of consciousness or hyperreflexia, has subsequently been associated with anti-GQ1b antibodies. An anti-GQ1b antibody syndrome has been proposed to underlie the common pathophysiology for the three disorders; however, other studies have found a positive anti-GM1 instead of anti-GQ1b antibody. Serologic analysis of antibodies against ganglioside complexes (anti-GDIa, anti-GDIb, anti-GM1, anti-GM2, anti-GM3, anti-GQIb and anti-GTIb antibodies) showed negative results. However, contrary to a proposed anti-GQ1b antibody syndrome, we would suggest that pathogenesis of this clinical spectrum is not limited to anti-ganglioside antibodies. Although there are usually no abnormalities in MFS by routine neuroimaging, in a few cases, contrast enhancement of nerve roots and signs of central nervous system involvement were described supporting the hypothesis of an anti-GQ1b-syndrome, a continuum involving GBS, MFS, and Bickerstaff's brainstem encephalitis.  Anti-GM1 IgG, GD1a IgG, GQ1b IgG, and GT1a IgG antibodies were positive. The discovery of the association of the anti-GQ1b IgG antibody with the postinfectious clinical syndromes of ophthalmoplegia, ataxia, and areflexia helped house the phenotypes of the Miller Fisher syndrome (MFS), atypical MFS, Guillain-Barré syndrome with ophthalmoplegia, and Bickerstaff's brainstem encephalitis under one roof.  These findings suggest that host susceptibility may play a role in inducing the production of anti-ganglioside antibodies and the development of Bickerstaff's brainstem encephalitis. These antibodies should provide useful serological markers for identifying patients who have atypical GBS with preserved deep tendon reflexes, ataxic GBS, Bickerstaff's brainstem encephalitis or acute ophthalmoparesis, especially for those who have no antibodies to GM1, GD1a or GQ1b. Bickerstaff brainstem encephalitis and Fisher syndrome: anti-GQ1b antibody syndrome. Among them, only one patient developed Bickerstaff's brainstem encephalitis, who carried anti-GQ1b IgG antibodies. Overlapping Guillain-Barré syndrome and Bickerstaff's brainstem encephalitis associated with anti-GQ1b IgG antibody after herpes simplex virus infection. Bickerstaff's brainstem encephalitis, Miller Fisher syndrome and Guillain-Barré syndrome overlap in an asthma patient with negative anti-ganglioside antibodies. Bickerstaff brainstem encephalitis is a clinical syndrome of ophthalmoplegia, cerebellar ataxia, and central nervous system signs and is associated with the presence of anti-GQ1b antibodies. This is only the second case in the literature of Bickerstaff brainstem encephalitis with raised titers of anti-GQ1b antibodies described in association with M pneumoniae infection. Of those patients with Fisher syndrome, Bickerstaff's brainstem encephalitis, ataxic GBS or acute ophthalmoparesis, 33% of 67 anti-GM1b-positive, and 52% of 25 anti-GalNAc-GD1a-positive patients had no anti-GQ1b antibodies. Fisher syndrome or Bickerstaff brainstem encephalitis? Anti-GQ1b IgG antibody syndrome involving both the peripheral and central nervous systems. Anti-GQ1b antibody has been found in Miller Fisher syndrome (MFS), Guillain-Barré syndrome (GBS) with ophthalmoplegia, Bickerstaff brainstem encephalitis (BBE), and acute ophthalmoplegia without ataxia (AO). This case presented clinical characteristics of three syndromes concurrently-Fisher syndrome, Bickerstaff brainstem encephalitis, and Guillain-Barré syndrome-that may be collectively called 'anti-GQ1b IgG antibody syndrome'. This is the case of a 79-year-old man with chronic lymphocytic leukemia who presented with Guillain-Barré syndrome with features overlapping with the Miller Fisher syndrome and Bickerstaff brainstem encephalitis and positive antiganglioside GQ1b antibody about 6 months after treatment with bendamustine and rituximab. Bickerstaff brainstem encephalitis and Fisher syndrome: anti-GQ1b antibody syndrome [A case report of Bickerstaff's brainstem encephalitis with positive anti GQ 1 b, GT 1 a, GM 1 ganglioside antibodies]. [Probable Bickerstaff's brainstem encephalitis associated with anti-GQ1b antibody]. Among them, only one patient developed Bickerstaff's brainstem encephalitis, who carried anti-GQ1b IgG antibodies.  Nevertheless, 66% of patients with Bickerstaff syndrome have anti-GQ1b antibody during the acute phase period. Among them, only one patient developed Bickerstaff's brainstem encephalitis, who carried anti-GQ1b IgG antibodies. Overlapping Guillain-Barré syndrome and Bickerstaff's brainstem encephalitis associated with anti-GQ1b IgG antibody after herpes simplex virus infection.	['antiganglioside antibody']
531e2695267d7dd05300000f	What is the localization of the protein encoded by the gene DNAJC11?	 DnaJC11, respectively. The first three are outer membrane proteins, CHCHD3 has been assigned to the matrix space, and the other two proteins have not been described in mitochondria previously.	['mitochondrial inner membrane']
5a885daa61bb38fb24000018	Which is the conserved motif of DEAD box proteins?	DEAD box proteins are putative RNA helicases that have been implicated in cellular processes involving alteration of RNA secondary structure, such as translation initiation and splicing. These proteins share eight conserved amino acid motifs, including Asp(D)-Glu-(E)-Ala(A)-Asp(D) which is part of a more extended motif. 	['Asp(D)-Glu-(E)-Ala(A)-Asp(D)']
