5324d0169b2d7acc7e000022	List FDA approved treatments for androgenetic allopecia	Topical minoxidil 2%-5% 1 mL twice daily or finasteride 1 mg daily are recommended as first line treatments, followed by the use of Food and Drug Administration-cleared HairMax LaserComb® in patients who do not respond to first line modalities. Recently, in addition to the two currently approved U.S. Food and Drug Administration (FDA) medications (minoxidil and finasteride), a novel device was FDA-approved for the treatment of hair loss, the laser hair comb. In addition, low-level light therapy (LLLT) has recently been approved by the United States Food and Drug Administration (FDA) for the treatment of hair loss.  Currently there are two U.S. Food and Drug Administration (FDA)-approved agents that promote hair regrowth: over-the-counter topical minoxidil solution for men and women and prescription oral finasteride tablets for men.  Topical monoxidil and oral finasteride are commonly in use and have FDA approval for the treatment of male androgenetic alopecia; dutasteride, a type I and II 5-alpha-reductase inhibitor, is on hold in Phase III trials. The only FDA-approved dermatological indication of finasteride is androgenetic alopecia. Finasteride (Propecia) was approved by the FDA in 1998 for treating men with androgenetic alopecia.	[['Minoxidil'], ['Finasteride'], ['Laser hair comb']]
535d69177d100faa09000003	What is SCENAR therapy used for?	SCENAR therapy to patients with localized suppurative peritonitis in the postoperative period post-herpetic neuralgia using a bioelectronical device (SCENAR) All patients experienced substantial relief of pain from the first treatment. An electronic biofeedback device (SCENAR) may be successfully utilized in the management of post-herpetic neuralgia. A new technique of low-frequency modulated electric current therapy, SCENAR therapy, was used in treatment of 103 patients with duodenal ulcer (DU). Addition of SCENAR therapy to the complex conventional pharmacotherapy fastened ulcer healing, increased the effectiveness of Helicobacter pylori eradication, and improved the condition of the gastroduodenal mucosa. SCENAR) as effective in the treatment of neurogenic dysfunction of the bladder in children with nocturnal enuresis. 	[['peritonitis postoperative'], ['pain in postherpetic neuralgia'], ['duodenal ulcer'], ['nocturnal enuresis']]
5c851c2675a4a5d219000006	Please list 2 antitoxin antibodies approved by the FDA for reducing the recurrence of Clostridium difficile infection	The exotoxins toxin A (TcdA) and toxin B (TcdB) are produced by the bacterial pathogen Clostridium difficile and are responsible for the pathology associated with C. difficile infection (CDI). The antitoxin antibodies actoxumab and bezlotoxumab bind to and neutralize TcdA and TcdB, respectively.  Bezlotoxumab was recently approved by the FDA for reducing the recurrence of CDI. The Monoclonal Antitoxin Antibodies (Actoxumab-Bezlotoxumab) Treatment Facilitates Normalization of the Gut Microbiota of Mice with Clostridium difficile Infection. The antitoxin antibodies actoxumab and bezlotoxumab bind to and neutralize TcdA and TcdB, respectively. Mechanisms of protection against Clostridium difficile infection by the monoclonal antitoxin antibodies actoxumab and bezlotoxumab. Bezlotoxumab: anti-toxin B monoclonal antibody to prevent recurrence of Clostridium difficile infection. Bezlotoxumab (Zinplava™) is a human monoclonal antibody against Clostridium difficile toxin B developed by Merck & Co. Bezlotoxumab (Zinplava™) is a fully human monoclonal antibody against Clostridium difficile toxin B indicated for the prevention of C. difficile infection (CDI) recurrence in patients with a high recurrence risk. Bezlotoxumab (Zinplava™) is a human monoclonal antibody against Clostridium difficile toxin B developed by Merck &amp; Co.	[['bezlotoxumab'], ['actoxumab']]
551829a76487737b43000009	List the diseases for which there are point-of-care breath tests	Additionally, we try to clarify controversial issues concerning possible experimental malpractice in the field, and propose ways to translate the basic science results as well as the mechanistic understanding to tools (sensors) that could serve as point-of-care diagnostics of cancer. Point of care monitoring of hemodialysis patients with a breath ammonia measurement device based on printed polyaniline nanoparticle sensors.  Excellent intraindividual correlations were demonstrated between breath ammonia and BUN (0.86 to 0.96), which demonstrates the possibility of using low cost point of care breath ammonia systems as a noninvasive means of monitoring kidney dysfunction and treatment. Recently, fractional exhaled nitric oxide (FeNO) has emerged as an important biomarker for the assessment and management of asthma. Here we discuss the potential of adapting a technology from the electronics industry, surface acoustic wave (SAW) sensors, for diagnosis of multiple markers of sepsis in real time, using non-invasive assays of exhaled breath condensate.  Together these data indicate that FeNO testing has an important role in the assessment and management of adult asthma.  Measurement of acetone in human breath samples has been previously shown to provide significant non-invasive diagnostic insight into the control of a patient's diabetic condition.   Urea breath testing may provide a useful diagnostic and biomarker assay for tuberculosis and treatment response. These animal model results suggest that exhaled breath can be used as a point-of-care tool for the diagnosis and monitoring of sepsis. Point-of-care breath test for biomarkers of active pulmonary tuberculosis. RATIONALE: Volatile organic compounds (VOCs) in breath provide biomarkers of tuberculosis (TB) because Mycobacterium tuberculosis manufactures VOC metabolites that are detectable in the breath of infected patients.  CONCLUSIONS: A six-minute point-of-care breath test for volatile biomarkers accurately identified subjects with active pulmonary TB. Selected ion flow tube-mass spectrometry (SIFT-MS) can measure volatile compounds in breath on-line in real time and has the potential to provide accurate breath tests for a number of inflammatory, infectious and metabolic diseases, including diabetes. Breath analysis by SIFT-MS offers a rapid, reproducible and easily performed measurement of acetone concentration in ambulatory patients with type 2 diabetes.  IGR is a new approach for non-invasive cardiac output measurement in mechanically ventilated individuals, but requires further investigation for clinical use. The liver metabolic breath test relies on measuring exhaled (13) C tagged methacetin, which is metabolized only by the liver. Measuring this liver-specific substrate by means of molecular correlation spectroscopy is a rapid, non-invasive method for assessing liver function at the point-of-care.  Our recent findings regarding the ability of point-of-care (13) C MBT to assess the hepatic functional reserve in patients with acute and chronic liver disease are reviewed along with suggested treatment algorithms for common liver disorders. 13[C]-urea breath test as a novel point-of-care biomarker for tuberculosis treatment and diagnosis. CONCLUSIONS/SIGNIFICANCE: Urea breath testing may provide a useful diagnostic and biomarker assay for tuberculosis and for treatment response. CONCLUSIONS: The non-invasive real-time BreathID GBT reliably assesses changes in liver glucose metabolism, and the degree of insulin resistance.  DISCUSSION: The LiMAx test can validly determine liver function capacity and is feasible in every clinical situation. A P(ET,CO(2)) of >or=36 mmHg may reliably exclude PE. Accuracy is augmented by combination with Wells score. P( ET,CO(2)) should be prospectively compared to D-dimer in accuracy and simplicity to exclude PE. Point-of-care continuous (13)C-methacetin breath test improves decision making in acute liver disease: results of a pilot clinical trial. CONCLUSION: The (13)C-MBT provides a rapid, non-invasive assessment of liver function in acute severe liver disease of diverse etiologies.  CONCLUSION: The determination of CO by IGR and CWD revealed a good agreement and reproducibility with a low rate of impossible measurements, suggesting that IGR and CWD can be used interchangeably in the clinical setting. BACKGROUND: Exhaled NO (FE(NO)) is a useful biomarker for the monitoring of asthma control and response to therapy.  A high percentage of patients with different severities of asthma and regardless of their treatment with ICS and current smoking habit (current and/or ex-smokers) had highly elevated FE(NO) values, suggesting that their current therapy was possibly insufficient to control the underlying degree of airway inflammation and asthma symptoms. H. pylori-positive status was defined by positivity on at least 2 tests: a commercial H. pylori stool antigen enzyme immunoassay, an immunoglobulin G antibody enzyme immunoassay, and the C-urea breath test End-tidal carbon dioxide measurements in children with acute asthma. CONCLUSIONS: Noninvasive bedside measurement of EtCO2 values among children with acute asthma is feasible.  Review article: the assessment of liver function using breath tests. The recent development of a real-time, point-of-care liver function breath test has made it straightforward to assess the metabolic function of the liver. RESULTS: The (13)C-methacetin breath test enables accurate follow-up of patients with acute or chronic liver damage, where overall hepatic function is significantly suppressed by known causes of liver disorders, including acute, sub-acute or chronic conditions.  CONCLUSIONS: Breath testing that provides continuous quantification of methacetin metabolism may be a sensitive tool for the diagnosis and follow-up of patients with liver disorders.  A multi-center study in a multi-ethnic population compared the RAPIRUN urine antibody test with the (13)C-urea breath test (C-UBT) and a traditional serologic test, the high-molecular-weight cell-associated protein enzyme immunoassay (HM-CAP EIA).  CONCLUSION: EGA provided non-invasive, accurate, continuous, high-resolution COHb% measurements. Applying EGA to carboxyhaemoglobin dilution, we achieved RCV measurements with accuracy equivalent to that of CO-haemoximetry, with one-fifth of the COB infusion volume.  These results suggest that the IR device, which is small, light-weight, and rugged may enable the foreign gas uptake method to be used in clinical, field, and point-of-care settings for Q (T) measurement. UNLABELLED: The 13C-urea breath test provides non-invasive testing for Helicobacter pylori infection with the possibility of analysis at the point of care.  CONCLUSION: Fdlate, a variable of VCap, had a statistically better diagnostic performance in suspected PE than the PaCO(2)-EtCO(2) gradient.   In conclusion, the investigated rebreathing system allows for a non-invasive determination of PBF at the bedside.  Non-invasive measurement of pulmonary blood flow during prone positioning in patients with early acute respiratory distress syndrome. The 13C-urea breath test provides accurate, noninvasive diagnosis of active Helicobacter pylori infection and can document posttherapy cure.  A portable Fourier transform infrared (FT-IR) multicomponent point-of-care analyzer was tested for the diagnosis of methanol intoxications. Breath analysis with FT-IR was fast and easy, and no sample preparation was needed. CONCLUSIONS: The Fd(late) is a valuable tool for bedside screening of PE in surgical patients.	[['lung cancer'], ['pulmonary embolism'], ['respiratory distress syndrome'], ['methanol intoxication'], ['kidney diseases'], ['liver diseases'], ['Helicobacter pylori infection'], ['asthma'], ['sepsis'], ['heart failure'], ['diabetes'], ['tuberculosis']]
6027505c1cb411341a0000e6	Which treatments were compared in the UNBLOCS trial?	Thulium laser transurethral vaporesection of the prostate versus transurethral resection of the prostate for men with lower urinary tract symptoms or urinary retention (UNBLOCS): a randomised controlled trial. BACKGROUND: Transurethral resection of the prostate (TURP) is the standard operation for benign prostatic obstruction. Thulium laser transurethral vaporesection of the prostate (ThuVARP) is a technique with suggested advantages over TURP, including reduced complications and hospital stay. We aimed to investigate TURP versus ThuVARP in men with lower urinary tract symptoms or urinary retention secondary to benign prostatic obstruction.METHODS: In this randomised, blinded, parallel-group, pragmatic equivalence trial, men in seven UK hospitals with bothersome lower urinary tract symptoms or urinary retention secondary to benign prostatic obstruction were randomly assigned (1:1) at the point of surgery to receive ThuVARP or TURP.  INTERPRETATION: TURP and ThuVARP were equivalent for urinary symptom improvement (IPSS) 12-months post-surgery, and TURP was superior for Qmax. The cost-effectiveness of transurethral resection of the prostate vs thulium laser transurethral vaporesection of the prostate in the UNBLOCS randomised controlled trial for benign prostatic obstruction. OBJECTIVE: To determine the cost-effectiveness of the current 'gold standard' operation of transurethral resection of the prostate (TURP) compared to the new laser technique of thulium laser transurethral vaporesection of the prostate (ThuVARP) in men with benign prostatic obstruction (BPO) within the UK National Health Service (NHS). Thulium laser transurethral vaporesection versus transurethral resection of the prostate for benign prostatic obstruction: the UNBLOCS RCT. A randomised controlled trial to determine the clinical and cost effectiveness of thulium laser transurethral vaporesection of the prostate (ThuVARP) versus transurethral resection of the prostate (TURP) in the National Health Service (NHS) - the UNBLOCS trial: a study protocol for a randomised controlled trial. The cost-effectiveness of transurethral resection of the prostate vs thulium laser transurethral vaporesection of the prostate in the UNBLOCS randomised controlled trial for benign prostatic obstruction	[['thulium laser transurethral vaporesection of the prostate'], ['transurethral resection of the prostate']]
5505b9ff8e1671127b000001	List markers for autophagy.	. Light chain 3/Atg8 as an autophagy marker  increased conversion of microtubule-associated protein, 1A/1B-light chain 3, from its cytosolic form (LC3B-I) to its lipidated form (LC3B-II), increased Beclin-1 levels, and increased acridine orange staining as determined by flow cytometry analysis, providing further evidence of γ-tocotrienol-induced autophagy in these mammary cancer cell lines Western blotting was used to detect hepatic microtubule-associated protein 1 light chain 3 (LC3)-II protein expression as a marker for autophagy autophagy marker LC3-II autophagy marker LC3B  the autophagy marker LC3 autophagy marker molecules, p62 and LC3-II   LC3-I into LC3-II and has been confirmed in multiple mammalian cell lines with multiple autophagy markers   light chain 3 (LC3), which is an autophagy marker. LC3 (tfLC3) autophagy marker the autophagy marker LC3, autophagy marker beclin 1 and microtubule-associated protein light chain 3 (LC3) were analyzed in control,   LC3-II levels (an autophagy marker); autophagy marker, microtubule-associated protein light chain3 (LC3) the autophagy marker LC3B-II utophagy marker protein microtubule-associated protein 1 light chain 3 (LC3) autophagy marker LC3 We used the expression of LC3-II and BECN1 as well as SQSTM1 as markers of autophagy activity.  autophagy marker LC3	[['LC3-II', 'microtubule-associated protein 1 light chain 3'], ['BECN1', 'beclin 1'], ['SQSTM1', 'p62', 'Sequestosome 1']]
5c63286ae842deac6700000e	List clinical symptoms of the MECOM-associated syndrome	MECOM-associated syndrome: a heterogeneous inherited bone marrow failure syndrome with amegakaryocytic thrombocytopenia. Heterozygous mutations in MECOM (MDS1 and EVI1 complex locus) have been reported to be causative of a rare association of congenital amegakaryocytic thrombocytopenia and radioulnar synostosis. Here we report on 12 patients with congenital hypomegakaryocytic thrombocytopenia caused by MECOM mutations (including 10 novel mutations). The mutations affected different functional domains of the EVI1 protein. The spectrum of phenotypes was much broader than initially reported for the first 3 patients; we found familial as well as sporadic cases, and the clinical spectrum ranged from isolated radioulnar synostosis with no or mild hematological involvement to severe bone marrow failure without obvious skeletal abnormality. The clinical picture included radioulnar synostosis, bone marrow failure, clinodactyly, cardiac and renal malformations, B-cell deficiency, and presenile hearing loss. No single clinical manifestation was detected in all patients affected by MECOM mutations. Radioulnar synostosis and B-cell deficiency were observed only in patients with mutations affecting a short region in the C-terminal zinc finger domain of EVI1. We propose the term MECOM-associated syndrome for this heterogeneous hereditary disease and inclusion of MECOM sequencing in the diagnostic workup of congenital bone marrow failure. Heterozygous mutations in MECOM (MDS1 and EVI1 complex locus) have been reported to be causative of a rare association of congenital amegakaryocytic thrombocytopenia and radioulnar synostosis. Radioulnar synostosis and B-cell deficiency were observed only in patients with mutations affecting a short region in the C-terminal zinc finger domain of EVI1. The spectrum of phenotypes was much broader than initially reported for the first 3 patients; we found familial as well as sporadic cases, and the clinical spectrum ranged from isolated radioulnar synostosis with no or mild hematological involvement to severe bone marrow failure without obvious skeletal abnormality. The clinical picture included radioulnar synostosis, bone marrow failure, clinodactyly, cardiac and renal malformations, B-cell deficiency, and presenile hearing loss.	[['radioulnar synostosis'], ['bone marrow failure'], ['clinodactyly'], ['cardiac malformations'], ['renal malformations'], ['B-cell deficiency'], ['presenile hearing loss']]
5c8d00980101eac870000006	List sirtuin inhibitors.	 Sirtinol, a commonly employed sirtuin inhibitor sirtuin inhibitor nicotinamide  pan-sirtuin inhibitor nicotinamide (NAM) of a novel sirtuin inhibitor (BZD9L1)   Sirtuin inhibitor nicotinamide. A Novel Sirtuin-3 Inhibitor, LC-0296	[['Sirtinol'], ['nicotinamide (NAM)'], ['LC-0296'], ['BZD9L1']]
57220e400fd6f91b68000015	Which are the most common symptoms in Lambert-Eaton Myasthenic Syndrome?	Lambert-Eaton myasthenic syndrome is a neuromuscular junction disorder characterized by proximal limb muscle weakness, fatigability, decreased deep-tendon reflexes, and autonomic symptoms. There are 2 forms of Lambert-Eaton myasthenic syndrome: one most frequently associated with small-cell lung cancer (P-Lambert-Eaton myasthenic syndrome) and the other that is a pure autoimmune form (NP-Lambert-Eaton myasthenic syndrome) LEMS weakness typically involves lower and upper limbs and the proximal muscles are predominantly affected. A significant proportion of patients also have dysfunction of the autonomic nervous system that may include dry mouth, constipation, blurred vision, impaired sweating, and orthostatic hypotension. LEMS recognition is based on clinical, electrophysiological and immunological criteria. Nearly 50-60% of patients with LEMS have an underlying tumour that, in almost all cases, is a small-cell lung cancer; In Lambert-Eaton myasthenic syndrome (LEMS), antibodies against presynaptic voltage-gated calcium channels reduce the quantal release of acetylcholine, causing muscle weakness and autonomic dysfunction. More than half of the affected patients have associated small cell lung cancer The Lambert-Eaton myasthenic syndrome (LEMS) is a disease of neuromuscular transmission in which autoantibodies against the P/Q-type voltage-gated calcium channel (VGCC) at the presynaptic nerve terminal play a major role in decreasing quantal release of acetylcholine (ACh), resulting in skeletal muscle weakness and autonomic symptoms. Primary respiratory failure as the presenting symptom in Lambert-Eaton myasthenic syndrome. Lambert-Eaton myasthenic syndrome is a neuromuscular junction disorder characterized by proximal limb muscle weakness, fatigability, decreased deep-tendon reflexes, and autonomic symptoms.  Lambert-Eaton myasthenic syndrome is a neuromuscular junction disorder characterized by proximal limb muscle weakness, fatigability, decreased deep-tendon reflexes, and autonomic symptoms. There are 2 forms of Lambert-Eaton myasthenic syndrome: one most frequently associated with small-cell lung cancer (P-Lambert-Eaton myasthenic syndrome) and the other that is a pure autoimmune form (NP-Lambert-Eaton myasthenic syndrome). The Lambert-Eaton myasthenic syndrome (LEMS) is a neuromuscular disorder, often associated with small cell lung carcinoma (SCLC), which is characterized by reduced quantal release of acetylcholine from the motor nerve terminals. LAMBERT-EATON MYASTHENIC SYNDROME: The Lambert-Eaton Myasthenic Syndrome (LEMS) is characterized by proximal muscle weakness initially affecting gait, autonomic symptoms (dry mouth, constipation, erectile failure) and augmentation of strength during initial voluntary activation. LAMBERT-EATON MYASTHENIC SYNDROME: The Lambert-Eaton Myasthenic Syndrome (LEMS) is characterized by proximal muscle weakness initially affecting gait, autonomic symptoms (dry mouth, constipation, erectile failure) and augmentation of strength during initial voluntary activation. Primary respiratory failure as the presenting symptom in Lambert-Eaton myasthenic syndrome.	[['proximal limb muscle weakness'], ['fatigability'], ['decreased deep-tendon reflexes'], ['autonomic symptoms'], ['small-cell lung cancer']]
5a760e5583b0d9ea66000018	Which comparisons demonstrate the applicability of StereoGene in regulatory genomics?	StereoGene: rapid estimation of genome-wide correlation of continuous or interval feature data. Genomics features with similar genome-wide distributions are generally hypothesized to be functionally related, for example, colocalization of histones and transcription start sites indicate chromatin regulation of transcription factor activity. Therefore, statistical algorithms to perform spatial, genome-wide correlation among genomic features are required.Results: Here, we propose a method, StereoGene, that rapidly estimates genome-wide correlation among pairs of genomic features. These features may represent high-throughput data mapped to reference genome or sets of genomic annotations in that reference genome. StereoGene enables correlation of continuous data directly, avoiding the data binarization and subsequent data loss. Correlations are computed among neighboring genomic positions using kernel correlation. Representing the correlation as a function of the genome position, StereoGene outputs the local correlation track as part of the analysis. StereoGene also accounts for confounders such as input DNA by partial correlation. We apply our method to numerous comparisons of ChIP-Seq datasets from the Human Epigenome Atlas and FANTOM CAGE to demonstrate its wide applicability. We observe the changes in the correlation between epigenomic features across developmental trajectories of several tissue types consistent with known biology and find a novel spatial correlation of CAGE clusters with donor splice sites and with poly(A) sites. These analyses provide examples for the broad applicability of StereoGene for regulatory genomics.	[['Comparisons of ChIP-Seq datasets from the Human Epigenome Atlas'], ['Comparisons of ChIP-Seq datasets from FANTOM CAGE']]
