56bc751eac7ad10019000013	Name synonym of Acrokeratosis paraneoplastica.	Acrokeratosis paraneoplastica of Bazex is a rare but important paraneoplastic dermatosis, usually manifesting as psoriasiform rashes over the acral sites. [Paraneoplastic palmoplantar hyperkeratosis. Minor form of acrokeratosis neoplastica Bazex?]. Acrokeratosis paraneoplastica Bazex is a rare, obligate paraneoplasia initially presenting with palmoplantar hyperkeratosis.  We diagnosed a minor form of acrokeratosis paraneoplastica Bazex.  Acrokeratosis paraneoplastica (Bazex syndrome): report of a case associated with small cell lung carcinoma and review of the literature. Acrokeratosis paraneoplastic (Bazex syndrome) is a rare, but distinctive paraneoplastic dermatosis characterized by erythematosquamous lesions located at the acral sites and is most commonly associated with carcinomas of the upper aerodigestive tract.  Bazex syndrome (acrokeratosis paraneoplastica): persistence of cutaneous lesions after successful treatment of an associated oropharyngeal neoplasm. Acrokeratosis paraneoplastica Bazex syndrome associated with esophageal squamocellular carcinoma. BACKGROUND: Acrokeratosis paraneoplastica Bazex (APB) is a very rare disease in the group of obligate paraneoplastic dermatoses, associated mostly with squamous cell carcinoma of the upper aerodigestive tract and metastatic cervical lymphadenopathy.  Acrokeratosis paraneoplastica (Bazex' syndrome). Acrokeratosis paraneoplastica (first described by Gougerot and Rupp in 1922) was named after Bazex who had then reported several cases in a French dermatological journal since 1965 (Bazex et al. in Bull Soc Fr Dermatol Syphiligr 72:182, 1965; Bazex and Griffiths in Br J Dermatol 102:301-306, 1980).METHOD: The study is a clinical case of a patient with acrokeratosis paraneoplastica.RESULTS: the patient was later diagnosed with a cervical lymph node metastasis and thereafter with a primary squamous cell carcinoma of the left upper lobe and upon treatment responded with the clearing of the skin changes.CONCLUSION: Identification of a paraneoplastic syndrome may enhance the earlier diagnosis of the associated tumor and may thus enable curative treatment. Acrokeratosis paraneoplastica (Bazex's syndrome): association with liposarcoma. Acrokeratosis paraneoplastica of Bazex as an indicator for underlying squamous cell carcinoma of the lung. Acrokeratosis paraneoplastica (Bazex syndrome) with oropharyngeal squamous cell carcinoma. Acrokeratosis paraneoplastica of Bazex: report of a case in a young black woman. Acrokeratosis paraneoplastica of Bazex. Acrokeratosis paraneoplastica (first described by Gougerot and Rupp in 1922) was named after Bazex who had then reported several cases in a French dermatological journal since 1965 (Bazex et al. Acrokeratosis paraneoplastica: Bazex syndrome. Bazex syndrome: acrokeratosis paraneoplastica. Acrokeratosis paraneoplastica (Bazex&apos; syndrome) is a rare but clinically distinctive dermatosis that has been associated in all reported cases, to our knowledge, with either a primary malignant neoplasm of the upper aerodigestive tract or metastatic cancer to the lymph nodes of the neck. Acrokeratosis paraneoplastica was found in a 53-year-old black man with squamous cell carcinoma of the tonsil. Bazex syndrome (acrokeratosis paraneoplastica) is a rare paraneoplastic syndrome that usually occurs in males over 40 years old and is particularly associated with squamous cell carcinoma of the upper aerodigestive tract and adenopathy above the diaphragm.The objectives of our article are (1) to describe a unique case of acrokeratosis paraneoplastica and (2) to review the current literature regarding skin findings, commonly associated neoplasms, and treatment options relative to this condition.	['Bazex syndrome']
56af9f130a360a5e45000015	Where is the protein Pannexin1 located?	zfPanx1 was identified on the surface of horizontal cell dendrites invaginating deeply into the cone pedicle near the glutamate release sites of the cones, providing in vivo evidence for hemichannel formation at that location. pannexin1, a vertebrate homolog of invertebrate gap junction proteins. The specific profile of gap junction proteins, the connexins, expressed in these different cell types forms compartments of intercellular communication that can be further shaped by the release of extracellular nucleotides via pannexin1 channels.  Recent studies demonstrated that ATP can be released from cells in a controlled manner through pannexin (Panx) channels. The ATP release channel Pannexin1 (Panx1) is self-regulated The membrane protein Pannexin1 forms two open-channel conformations depending on the mode of activation.  Pannexin1 channels traffic to the plasma membrane. We previously showed that pannexins form oligomeric channels but unlike connexins and innexins, they form only single membrane channels. ATP release channel Pannexin1  Pannexin1 (Panx1) is a newly discovered extracellular ATP release channel with a wide tissue distribution and diverse biological functions in mammals. In mammals, a single pannexin1 gene (Panx1) is widely expressed in the CNS including the inner and outer retinae, forming large-pore voltage-gated membrane channels, which are involved in calcium and ATP signaling.  Six of them form a "gap junction hemichannel-like" structure that connects the cytoplasm with the extracellular space; here they will be called Panx1 channels. These are poorly selective channels permeable to ions, small metabolic substrate, and signaling molecules.	['plasma membrane']
52bf1b0a03868f1b06000009	What is the mode of inheritance of Wilson's disease?	The disease has an autosomal recessive mode of inheritance, and is characterized by excessive copper deposition, predominantly in the liver and brain.  The inheritance is autosomal recessive.  Wilson's disease (WD), or hepatolenticular degeneration, is an autosomal recessive inheritance disorder of copper metabolism caused by ATP7B gene mutation.  Inheritance seems most likely to be autosomal recessive When familial, it is inherited recessively and has been linked to chromosome 20.  Inheritance of a pair of alleles of an autosomal recessive gene on chromosome 13 is necessary and sufficient to cause such copper accumulation in WD; reducing the dietary intake of copper cannot prevent the development of WD.  Wilson's disease is a treatable movement disorder with autosomal recessive inheritance which is associated with severe morbidity and mortality if not treated early.  The patient was considered heterozygote for hemochromatosis on the basis of the autosomal recessive inheritance for hemochromatosis, the frequency of the hemochromatosis gene, and the laboratory parameters defining her iron overload.  Wilson's disease (WD) is an autosomal recessive disorder of copper accumulation leading to liver and/or brain damage.  Autosomal recessive inheritance indicates that siblings of affected patients are at 25% risk of having the disease.  Wilson's disease is a rare genetic disorder of copper metabolism with autosomal recessive inheritance. Recessive inheritance is, however, supported.  The autosomal recessive mode of inheritance strongly suggests that mutation of a single gene causes the impairment of both caeruloplasmin synthesis and biliary copper excretion. This is consistent with the autosomal-recessive pattern of inheritance The overall sex ratio of patients was nearly 1:1, and genetic analysis of 20 families confirmed an autosomal recessive mode of inheritance.  Dermatoglyphics of 11 patients with Wilson's disease and 16 of their clinically asymptomatic relatives of first degree were investigated; 11 of the latter ones were heterozygous in agreement with the turn over rates of Cu-67, 12 under the assumption of autosomal recessive inheritance.	['autosomal recessive']
52bf19c503868f1b06000001	What is the mode of inheritance of Facioscapulohumeral muscular dystrophy (FSHD)?	autosomal dominant FSHD1 Facioscapulohumeral muscular dystrophy (FSHD) is a neuromuscular disease, characterized by an autosomal dominant mode of inheritance, facial involvement, and selectivity and asymmetry of muscle involvement. Facioscapulohumeral dystrophy (FSHD) is an autosomal-dominant disorder characterized by weakness of the face, upper arm, shoulder, and lower limb musculature, with an onset between the first and third decades.  Clinical diagnosis is made from the distinctive pattern of weakness, autosomal-dominant inheritance, and confirmed by genetic testing.  In one family together with prenatal diagnosis founder mutation in FSHD A1 gene was detected, according to the autosomal dominant (AD) inheritance. Facioscapulohumeral muscular dystrophy (FSHD) is a primary muscle disorder with autosomal dominant inheritance. Facioscapulohumeral muscular dystrophy (FSHD) is a slowly progressive myopathy with autosomal dominant inheritance remarkable for its early involvement of facial musculature. Consensual diagnostic criteria for facioscapulohumeral dystrophy (FSHD) include onset of the disease in facial or shoulder girdle muscles, facial weakness in more than 50% of affected family members, autosomal dominant inheritance in familial cases, and evidence of myopathic disease in at least one affected member without biopsy features specific to alternative diagnoses Facioscapulohumeral dystrophy (FSHD) is an autosomal-dominant muscular disorder associated with a short (<35 kb) EcoRI/BlnI fragment resulting from deletion of an integral number of units of a 3.3-kb repeat located at 4q35. In 139 families, dominant inheritance was observed in 97, a pattern compatible with germline mosaicism in 6, while sporadic cases were found in 36 families.  In 139 families, dominant inheritance was observed in 97, a pattern compatible with germline mosaicism in 6, while sporadic cases were found in 36 families.	['autosomal dominant']
5505edac8e1671127b000005	What kind of chromatography is HILIC?	hydrophilic interaction liquid chromatography-tandem mass spectrometry (HILIC LC-MS/MS) method Hydrophilic-interaction liquid chromatography (HILIC) is a widely used technique for small polar molecule analysis  hydrophilic-interaction LC (HILIC) A hydrophilic interaction liquid chromatography-tandem mass spectrometry (HILIC LC-MS/MS) method  Hydrophilic Interaction Chromatography (HILIC)  n this study a hydrophilic interaction chromatographic (HILIC) method 	['Hydrophilic Interaction Chromatography']
56e2cec751531f7e33000015	What is the structural fold of bromodomain proteins?	These new studies also support the notion that functional diversity of a conserved bromodomain structural fold is achieved by evolutionary changes of structurally flexible amino-acid sequences in the ligand binding site such as the ZA and BC loops. Although the overall fold resembles the bromodomains from other proteins, significant differences can be found in loop regions, especially in the ZA loop in which a two amino acids insertion is involved in an uncommon pi-helix, termed piD In addition to a typical all-alpha-helical fold that was observed in the bromodomains, we observed for the first time a small beta-sheet in the ZA loop region of the BRG1 protein. Here, we report the crystal structure of the N-terminal bromodomain (BD1, residues 74-194) of human BRD2. This is the first observation of a homodimer among the known bromodomain structures, through the buried hydrophobic core region at the interface. The Brg1 bromodomain conserves the left-handed, four-helix bundle topology found in other bromodomain structures. However, the alphaZ helix of Brg1 bromodomain is about 4 residues shorter relative to previously published bromodomain structures. Here, we report the solution structure of BRD7 bromodomain determined by NMR spectroscopy, and its binding specificity revealed by NMR titration with several acetylated histone peptides. The 2.1 angstrom crystal structure of the double bromodomain reveals two side-by-side, four-helix bundles with a highly polarized surface charge distribution The structure has a left-handed four-helix bundle topology, with two short additional helices in a long connecting loop. The structure reveals an unusual left-handed up-and-down four-helix bundle.  In addition to a typical all-alpha-helical fold that was observed in the bromodomains, we observed for the first time a small beta-sheet in the ZA loop region of the BRG1 protein. In addition to a typical all-alpha-helical fold that was observed in the bromodomains,	['All-alpha-helical fold']
5518e7da622b194345000004	Which MAP kinase phosphorylates the transcription factor c-jun?	 c-Jun NH2-terminal kinase (JNK)  c-jun N-terminal kinase (JNK) of mitogen-activated protein kinase (MAPK) family  -Jun N-terminal kinase (JNK) activated c-Jun N-terminal kinase (JNK) -Jun N-terminal kinase (JNK) mitogen-activated protein kinase (MAPK) signaling pathways  c-Jun N-terminal kinases (JNK)   including c-Jun N-terminal kinase, c-Jun The c-Jun N-terminal kinase (JNK) is thought to be involved in inflammation, proliferation and apoptosis.   c-Jun NH2-terminal protein kinases (JNK),   c-Jun N-terminal kinase (JNK) phosphorylation, c-Jun phosphorylation JNK phosphorylated recombinant c-Jun at T91/T93 in a T95-dependent manner  c-Jun N-terminal kinase (JNK) MAPKs (mitogen-activated protein kinases) c-Jun N-terminal kinases (JNKs) are a group of mitogen-activated protein kinase family members that are important in regulating cell growth, proliferation, and apoptosis. Jun and Fos transcriptional activities are also regulated by phosphorylation as a result of the activation of intracellular signaling cascades. In this regard, the phosphorylation of c-Jun by UV-induced JNK has been readily documented, whereas a role for Fos proteins in UV-mediated responses and the identification of Fos-activating kinases has remained elusive An in vitro kinase assay revealed that the resultant c-Jun phosphorylation was primarily mediated via activated c-Jun N-terminal protein kinase (JNK). The c-Jun N-terminal kinase (JNK) pathway forms part of the mitogen-activated protein kinase (MAPK) signaling pathways comprising a sequential three-tiered kinase cascade.  The c-Jun N-terminal kinases (JNKs) are members of the mitogen-activated protein kinase (MAPK) family and are activated by environmental stress. JNK phosphorylates and regulates the activity of transcription factors other than c-Jun, including ATF2, Elk-1, p53 and c-Myc and non-transcription factors, such as members of the Bcl-2 family. A candidate for this extended family of MAP kinases is the c-Jun NH2-terminal kinase (Jnk), which binds to and phosphorylates the transcription factor c-Jun at the activating sites Ser-63 and Ser-73. An in vitro kinase assay revealed that the resultant c-Jun phosphorylation was primarily mediated via activated c-Jun N-terminal protein kinase (JNK) A candidate for this extended family of MAP kinases is the c-Jun NH2-terminal kinase (Jnk), which binds to and phosphorylates the transcription factor c-Jun at the activating sites Ser-63 and Ser-73	['c-Jun NH2-terminal kinase', 'JNK']
530a5117970c65fa6b000007	What is the meaning of the acronym "TAILS" used in protein N-terminomics?	. It is important to identify what proteins are substrates of proteases and where their cleavage sites are so as to reveal the molecular mechanisms and specificity of signaling.  It is important to identify what proteins are substrates of proteases and where their cleavage sites are so as to reveal the molecular mechanisms and specificity of signaling. analysis of N- terminomics data generated by terminal amine isotopic labeling of substrates (TAILS) enables high confidence peptide to protein assignment, protein N-terminal characterization and annotation, and for protease analysis readily allows protease substrate discovery with high confidence. Several approaches to studying proteolytic activity as it relates to biology, pathophysiology, and drug therapy have been published, including the recently described terminal amine isotopic labeling of substrates (TAILS) strategy by Kleifeld and colleagues  The degradomics screen terminal amine isotopic labeling of substrates (TAILS), which enriches for neo-N-terminal peptides of cleaved substrates, was used to identify 58 new native substrates in fibroblast secretomes after incubation with MT6-MMP.   Here we present in detail the steps required to perform our recently described approach we call Terminal Amine Isotopic Labeling of Substrates (TAILS), a combined N-terminomics and protease substrate discovery degradomics platform for the simultaneous quantitative and global analysis of the N-terminome and proteolysis in one MS/MS experiment.  Identification of proteolytic products and natural protein N-termini by Terminal Amine Isotopic Labeling of Substrates (TAILS).  Incorporating iTRAQ whole protein labeling with terminal amine isotopic labeling of substrates (iTRAQ-TAILS) to enrich the N-terminome by negative selection of the blocked mature original N-termini and neo-N-termini has many advantages. 	['TAILS: Terminal Amine Isotopic Labeling of Substrates']
552fac4fbc4f83e828000006	Which fusion protein is involved in the development of Ewing sarcoma?	Ewing sarcoma is the second most common bone malignancy in children and young adults. It is driven by oncogenic fusion proteins (i.e. EWS/FLI1) acting as aberrant transcription factors that upregulate and downregulate target genes, leading to cellular transformation EWS/FLI-1 oncoprotein subtypes impose different requirements for transformation and metastatic activity in a murine model Ewing sarcoma/primitive neuroectodermal tumors (EWS/PNET) are characterized by specific chromosomal translocations most often generating a chimeric EWS/FLI-1 gene The resulting EWS-FLI-1 fusion protein is believed to behave as an aberrant transcriptional activator that contributes to ESFT development by altering the expression of its target genes in a permissive cellular environment Herein, we show that the DNA repair protein and transcriptional cofactor, EYA3, is highly expressed in Ewing sarcoma tumor samples and cell lines compared with mesenchymal stem cells, the presumed cell-of-origin of Ewing sarcoma, and that it is regulated by the EWS/FLI1 fusion protein transcription factor The orphan nuclear receptor DAX1 is up-regulated by the EWS/FLI1 oncoprotein and is highly expressed in Ewing tumors The Ewing family of tumors harbors chromosomal translocations that join the N-terminal region of the EWS gene with the C-terminal region of several transcription factors of the ETS family, mainly FLI1, resulting in chimeric transcription factors that play a pivotal role in the pathogenesis of Ewing tumors. To identify downstream targets of the EWS/FLI1 fusion protein, we established 293 cells expressing constitutively either the chimeric EWS/FLI1 or wild type FLI1 proteins and used cDNA arrays to identify genes differentially regulated by EWS/FLI1 The high levels of DAX1 found in Ewing tumors and its potent transcriptional repressor activity suggest that the oncogenic effect of EWS/FLI1 may be mediated, at least in part, by the up-regulation of DAX1 expression Herein, we show that the DNA repair protein and transcriptional cofactor, EYA3, is highly expressed in Ewing sarcoma tumor samples and cell lines compared with mesenchymal stem cells, the presumed cell-of-origin of Ewing sarcoma, and that it is regulated by the EWS/FLI1 fusion protein transcription factor. Ewing sarcoma family tumors (ESFT) are highly aggressive and highly metastatic tumors caused by a chromosomal fusion between the Ewing sarcoma protein (EWS) with the transcription factor FLI-1. EWS-FLI1 is a fusion protein that results from the pathognomonic translocation of Ewing sarcoma (ES). Chromosomal translocation that results in fusion of the genes encoding RNA-binding protein EWS and transcription factor FLI1 (EWS-FLI1) is pathognomonic for Ewing sarcoma. Eighty-five percent of Ewing sarcoma is characterized by the presence of the aberrant chimeric EWS/FLI1 fusion gene. Blocking the road, stopping the engine or killing the driver? Advances in targeting EWS/FLI-1 fusion in Ewing sarcoma as novel therapy. Fusion of the EWS gene to FLI1 produces a fusion oncoprotein that drives an aberrant gene expression program responsible for the development of Ewing sarcoma. Mosaic expression of the human EWS-FLI1 fusion protein in zebrafish caused the development of tumors with histology strongly resembling that of human Ewings sarcoma. Ewing sarcoma family of tumors (ESFT) is a group of aggressive pediatric malignancies driven by the EWS-FLI1 fusion protein, an aberrant transcription factor up-regulating specific target genes, such as neuropeptide Y (NPY) and its Y1 and Y5 receptors (Y5Rs). Ewing sarcoma is primarily caused by a t(11;22) chromosomal translocation encoding the EWS-FLI1 fusion protein. Herein, we show that the DNA repair protein and transcriptional cofactor, EYA3, is highly expressed in Ewing sarcoma tumor samples and cell lines compared with mesenchymal stem cells, the presumed cell-of-origin of Ewing sarcoma, and that it is regulated by the EWS/FLI1 fusion protein transcription factor. The EWS-ETS fusion is causative in the development of Ewing's tumour. The resulting EWS-FLI-1 fusion protein is believed to behave as an aberrant transcriptional activator that contributes to ESFT development by altering the expression of its target genes in a permissive cellular environment. EWS-FLI1 is an oncogenic fusion protein implicated in the development of Ewing's sarcoma family tumors (ESFT) Eighty-five percent of Ewing sarcoma is characterized by the presence of the aberrant chimeric EWS/FLI1 fusion gene Chromosomal translocation that results in fusion of the genes encoding RNA-binding protein EWS and transcription factor FLI1 (EWS-FLI1) is pathognomonic for Ewing sarcoma Together, our data reveal that EWSAT1 is a downstream target of EWS-FLI1 that facilitates the development of Ewing sarcoma via the repression of target genes Thus, we developed a highly validated transcriptional profile for the EWS/FLI fusion protein and identified a critical target gene in Ewing's sarcoma development. Our understanding of Ewing's sarcoma development mediated by the EWS/FLI fusion protein has been limited by a lack of knowledge regarding the tumor cell of origin Ewing's sarcomas are characterized by recurrent chromosomal translocations expressing EWS-ETS fusion proteins, the most common of which is EWS-FLI.(1-5) EWS-FLI is an oncogenic transcription factor that regulates genes involved in tumorigenesis.(6,7) Because the Ewing's sarcoma cell of origin remains unknown, a variety of model systems have been developed to study EWS-FLI fusions,(8-14) and multiple microarray experiments describing potential EWS-FLI target genes have been reported.(8,10,11,13,15-21) Each model has potential benefits and drawbacks, but a large-scale comparison of these has not been reported Most cases of Ewing's sarcoma express the EWS/FLI fusion protein	['EWS/FLI1']
54cf7051f693c3b16b000013	Treatment of which disease was investigated in the MR CLEAN study?	INTRODUCTION: A recent randomized controlled trial (RCT), the Multicenter Randomized CLinical trial of Endovascular treatment for Acute ischemic stroke in the Netherlands (MR CLEAN), demonstrated better outcomes with endovascular treatment compared with medical therapy for acute ischemic stroke (AIS).  INTRODUCTION: A recent randomized controlled trial (RCT), the Multicenter Randomized CLinical trial of Endovascular treatment for Acute ischemic stroke in the Netherlands (MR CLEAN), demonstrated better outcomes with endovascular treatment compared with medical therapy for acute ischemic stroke (AIS). CONCLUSIONS: In patients with acute ischemic stroke caused by a proximal intracranial occlusion of the anterior circulation, intraarterial treatment administered within 6 hours after stroke onset was effective and safe. (Funded by the Dutch Heart Foundation and others; MR CLEAN Netherlands Trial Registry number, NTR1804, and Current Controlled Trials number, ISRCTN10888758.). MR CLEAN, a multicenter randomized clinical trial of endovascular treatment for acute ischemic stroke in the Netherlands: study protocol for a randomized controlled trial.  In our view, a rational and ethical approach would now be to treat quickly with IV rtPA and when possible, refer and include in new randomized clinical trials that compare intra-arterial treatment with standard care, such as MR CLEAN or BASICS in the Netherlands.	['acute ischemic stroke']
